book,context,block_type,classification_confidence
rot,data/0/entries/7/entries/3/entries/0,NARRATIVE,0.8
rot,data/0/entries/7/entries/3/entries/1,NARRATIVE,0.8
rot,data/0/entries/7/entries/3/entries/2,NARRATIVE,0.8
rot,data/0/entries/7/entries/3/entries/3,NARRATIVE,0.8
rot,data/0/entries/7/entries/3/entries/4,NARRATIVE,0.8
rot,data/0/entries/7/entries/3/entries/5/name,HEADING_LABEL,1.0
rot,data/0/entries/7/entries/3/entries/5/entries/0,DM_INSTRUCTION,0.85
rot,data/0/entries/7/entries/3/entries/5/entries/1,DM_INSTRUCTION,0.85
rot,data/0/entries/7/entries/4/name,HEADING_LABEL,1.0
rot,data/0/entries/7/entries/4/entries/0,NARRATIVE,0.8
rot,data/0/entries/7/entries/4/entries/1,NARRATIVE,0.8
rot,data/0/entries/7/entries/4/entries/2/name,HEADING_LABEL,1.0
rot,data/0/entries/7/entries/4/entries/2/entries/0,NARRATIVE,0.8
rot,data/0/entries/7/entries/4/entries/2/entries/1,DM_INSTRUCTION,0.85
rot,data/0/entries/7/entries/4/entries/2/entries/2,NARRATIVE,0.8
rot,data/0/entries/7/entries/4/entries/2/entries/3,DM_INSTRUCTION,0.85
rot,data/0/entries/7/entries/4/entries/2/entries/4,NARRATIVE,0.8
rot,data/0/entries/7/entries/5/name,HEADING_LABEL,1.0
rot,data/0/entries/7/entries/5/entries/0,DM_INSTRUCTION,0.85
rot,data/0/entries/7/entries/5/entries/1,DM_INSTRUCTION,0.85
rot,data/0/entries/7/entries/5/entries/2/name,HEADING_LABEL,1.0
rot,data/0/entries/7/entries/5/entries/2/entries/0,DM_INSTRUCTION,0.85
rot,data/0/entries/8/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/0,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/2/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/2/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/2/entries/2,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/2/entries/3/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/2/entries/3/entries/0,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/2/entries/3/entries/1,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/2/entries/4/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/2/entries/4/entries/0,NARRATIVE,0.8
rot,data/0/entries/8/entries/2/entries/4/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/2/entries/4/entries/2,NARRATIVE,0.8
rot,data/0/entries/8/entries/2/entries/4/entries/3,NARRATIVE,0.8
rot,data/0/entries/8/entries/2/entries/4/entries/4,NARRATIVE,0.8
rot,data/0/entries/8/entries/2/entries/4/entries/5,NARRATIVE,0.8
rot,data/0/entries/8/entries/2/entries/4/entries/6,NARRATIVE,0.8
rot,data/0/entries/8/entries/2/entries/4/entries/7,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/3/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/3/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/3/entries/2,NARRATIVE,0.8
rot,data/0/entries/8/entries/3/entries/3,NARRATIVE,0.8
rot,data/0/entries/8/entries/3/entries/4/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/3/entries/4/entries/0,NARRATIVE,0.8
rot,data/0/entries/8/entries/3/entries/4/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/3/entries/4/entries/2,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/3/entries/5/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/3/entries/5/entries/0,NARRATIVE,0.8
rot,data/0/entries/8/entries/3/entries/5/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/3/entries/5/entries/2,NARRATIVE,0.8
rot,data/0/entries/8/entries/3/entries/5/entries/3,NARRATIVE,0.8
rot,data/0/entries/8/entries/3/entries/5/entries/4,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/3/entries/5/entries/5,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/3/entries/5/entries/6,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/4/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/entries/2,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/entries/3/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/4/entries/3/entries/0,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/entries/3/entries/1,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/4/entries/3/entries/2,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/4/entries/4/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/4/entries/4/entries/0,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/entries/4/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/entries/4/entries/2,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/entries/4/entries/3,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/entries/4/entries/4,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/entries/4/entries/5,NARRATIVE,0.8
rot,data/0/entries/8/entries/4/entries/4/entries/6,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/4/entries/4/entries/7,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/5/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/2,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/3/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/5/entries/3/entries/0,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/3/entries/1,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/5/entries/3/entries/2,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/5/entries/4/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/5/entries/4/entries/0,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/5/entries/4/entries/1,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/5/entries/5/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/5/entries/5/entries/0,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/5/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/5/entries/2,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/5/entries/3,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/5/entries/4,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/5/entries/5,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/5/entries/6,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/5/entries/5/entries/7,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/5/entries/6/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/5/entries/6/entries/0,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/6/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/6/entries/2,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/6/entries/3,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/6/entries/4,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/6/entries/5,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/6/entries/6,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/6/entries/7,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/5/entries/7/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/5/entries/7/entries/0,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/7/entries/1,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/7/entries/2,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/7/entries/3,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/7/entries/4,NARRATIVE,0.8
rot,data/0/entries/8/entries/5/entries/7/entries/5,DM_INSTRUCTION,0.85
rot,data/0/entries/8/entries/5/entries/8/name,HEADING_LABEL,1.0
rot,data/0/entries/8/entries/5/entries/8/entries/0,NARRATIVE,0.8
